,Document,Category
0,"Let's resolve to reconnect, says Welby in new year message The archbishop of Canterbury will urge people to make personal connections with others in 2020 to create a new unity in a divided society. In his new …",UK-News
1,"Be honest. You're not going to read all those books on your holiday, are you? Every year, about this time, my Instagram feed fills up with pictures of books. They’re piled somewhere between five and ten inches high, sometimes st …",Books
2,"Mariah Carey's Twitter account hacked on New Year's Eve Mariah Carey’s Twitter account appeared to have been hacked late Tuesday afternoon, sharing numerous racist slurs and comments with the singer’s 21.4 …",Music
3,The joy audit: how to have more fun in 2020 The last time I felt joy was at an event that would be many people’s vision of hell: a drunken Taylor Swift club-night singalong in the early hours of …,Life-and-Style
4,Providence Lost by Paul Lay review – the rise and fall of Oliver Cromwell’s Protectorate The only public execution of a British head of state occurred 371 years ago outside the Banqueting House in Whitehall on 30 January 1649. It was a rad …,Books
5,"Zero-carbon electricity outstrips fossil fuels in Britain across 2019 Zero-carbon energy became Britain’s largest electricity source in 2019, delivering nearly half the country’s electrical power and for the first time o …",Business
6,The final sprint: will any of the Democratic candidates excite voters? Democrats overwhelmingly agree that their top priority in 2020 is to remove Donald Trump from office. But which of the many Democrats running for pres …,US-News
7,"War epics, airmen and young Sopranos: essential films for 2020 1917 An epic of Lean-ian proportions is delivered in this spectacular from director and co-writer Sam Mendes, who has developed a real-life story of h …",Film
8,"Stashing your cash: the beginner's guide to saving Much like going for a run or eating your greens, saving your cash offers long-term benefits, but is not always appealing. And, let’s face it, there ar …",Life-and-Style
9,"'I'm on the hunt for humour and hope': what will authors be reading in 2020? Matt Haig I have been very dark and gloomy with my reading habits this year, perhaps in tune with the social mood. Like a pig sniffing for truffles, I …",Books
10,"Twenty athletes set to light up the Tokyo 2020 Olympics Dina Asher-Smith Great Britain Athletics, 100m, 200m, 4x100m Seb Coe, who knows a thing or two about winning Olympic titles, believes Asher-Smith will …",Sport
11,"The most exciting movies of 2020 – horror The Grudge A belated English language reboot of Japanese classic Ju-On: The Grudge (2002), this stars Andrea Riseborough and Demián Bichir as detectiv …",Film
12,"Diary of a Murderer by Kim Young-ha review – dark stories from South Korea Given that loss of memory has become a familiar device in fiction, and the psychopath such a popular character archetype, we shouldn’t be too surprise …",Books
13,"US election, Brexit and China to sway the markets in 2020 After profiting from strong markets in 2019, investors are expecting 2020 to bring further rising asset prices and lively merger activity. But Brexit, …",Business
14,"TS Eliot’s intimate letters to confidante unveiled after 60 years A collection of more than 1,000 letters from the Nobel laureate TS Eliot to his confidante and muse Emily Hale is unveiled this week, after having bee …",Books
15,Clive Lewis calls for unity among Labour leadership hopefuls The Labour leadership hopeful Clive Lewis has called for unity among would-be candidates to succeed Jeremy Corbyn as they confront the “cliff face” of …,Politics
16,Visa applications: Home Office refuses to reveal 'high risk' countries Campaign groups have criticised the Home Office after it refused to release details of which countries are deemed a “risk” in an algorithm that filter …,UK-News
17,Victims of NYE Surrey road crash were BA cabin crew At least seven people have been killed across the UK in road traffic collisions over the new year period. The deaths included three British Airways ca …,UK-News
18,Man held on suspicion of double murder after bodies found in house Police have arrested a man on suspicion of murdering two people at a house in the village of Duffield in Derbyshire. The murder investigation was laun …,UK-News
19,"Great expectations: 'The quest for perfection has cannibalised my identity' “You need to practice self-compassion,” my psychologist says to me. This is our sixth session and as per usual he is struggling to find a phrase, a po …",Life-and-Style
20,"Anti-Islamic slogans spray-painted near mosque in Brixton Anti-Islamic slogans have been painted on a building close to a mosque and cultural centre in south London, the Metropolitan police have said. Officer …",UK-News
21,"Michael van Gerwen 3-7 Peter Wright: PDC world darts championship final – as it happened That’s it for tonight’s blog, so I’ll leave you with a report from Ally Pally. Thanks for your company, goodnight! There’s so much affection for Peter …",Sport
22,"Greggs launches meatless steak bake to beef up its vegan range Greggs, the UK’s largest bakery chain, will end speculation about its hotly anticipated new vegan snack by launching a meat-free version of its popula …",Business
23,"Woodford folk festival review – a much-needed moment of positivity and reprieve If Woodford folk festival was in mourning this year, you wouldn’t have known it. The death in May of festival elder and decade-long patron Bob Hawke c …",Music
